AÑO;FECHA;TÍTULO;NOMBRE_ARCHIVO
1991;1/09/1991;El oscuro vidriero;1-Sep-1991.pdf
1991;10/08/1991;La trompeta de Deyá;10-Ago-1991.pdf
1991;14/09/1991;Yeltson y la nariz de Cleopatra;14-Sep-1991.pdf
1991;15/03/1991;El Perú en llamas;15-Mar-1991.pdf
1991;16/04/1991;La excepción chilena;16-Abr-1991.pdf
1991;16/10/1991;Las palabras mentirosas;16-Oct-1991.pdf
1991;17/12/1991;Saúl Bellow y los cuentos chinos;17-Dic-1991.pdf
1991;2/08/1991;Pasión helvética;2-Ago-1991.pdf
1991;23/01/1991;De Gaulle cumple cien años;23-Ene-1991.pdf
1991;23/02/1991;Cataclismos de la libertad;23-Feb-1991.pdf
1991;26/12/1991;Bienvenido, caos;26-Dic-1991.pdf
1991;27/02/1991;Los pacifistas;27-Feb-1991.pdf
1991;29/03/1991;El juego de la piñata;29-Mar-1991.pdf
1991;3/11/1991;Todos somos liberales;3-Nov-1991.pdf
1991;4/05/1991;Impresión fugaz de Vaclav Hável;4-May-1991.pdf
1991;5/01/1991;Elogio de la Dama de Hierro;5-Ene-1991.pdf
1991;6/02/1991;Acomodos con el cielo;6-Feb-1991.pdf
1991;6/07/1991;El paraíso de los libros;6-Jul-1991.pdf
1991;6/06/1991;El nacionalismo y la utopía;6-Jun-1991.pdf
1991;6/09/1991;Presencia real;6-Sep-1991.pdf
1992;1/09/1992;Violencia y ficción;1-Sep-1992.pdf
1992;3/08/1992;La moral de los cínicos;3-Ago-1992.pdf
1992;4/04/1992;Ruido de sables;4-Abr-1992.pdf
1992;4/01/1992;Los viernes, milagro;4-Ene-1992.pdf
1992;6/05/1992;El 'pueblo' y la 'gente decente';6-May-1992.pdf
1992;10/08/1992;La paradoja de Grosz;10-Ago-1992.pdf
1992;10/10/1992;El preso 1509;10-Oct-1992.pdf
1992;13/04/1992;Muerte y resurrección de Hayek;13-Abr-1992.pdf
1992;13/12/1992;Naciones, ficciones;13-Dic-1992.pdf
1992;15/06/1992;La dictadura perfecta;15-Jun-1992.pdf
1992;18/04/1992;Regreso a la barbarie;18-Abr-1992.pdf
1992;20/12/1992;La OEA y los golpistas;20-Dic-1992.pdf
1992;23/06/1992;Pájaro tropical;23-Jun-1992.pdf
1992;24/08/1992;Mi único alumno;24-Ago-1992.pdf
1992;25/10/1992;La muerte del Che Guevara;25-Oct-1992.pdf
1992;27/07/1992;Y al tercer día, ¿resucitará?;27-Jul-1992.pdf
1992;28/04/1992;Arte degenerado;28-Abr-1992.pdf
1992;28/01/1992;Cabezazos con la Madre Patria;28-Ene-1992.pdf
1993;1/05/1993;¿Una izquierda civilizada?;1-May-1993.pdf
1993;2/02/1993;Eterno crepúsculo;2-Feb-1993.pdf
1993;5/04/1993;Cabezas de ratón;5-Abr-1993.pdf
1993;11/10/1993;Caballero del camino;11-Oct-1993.pdf
1993;14/12/1993;Fieras en libertad;14-Dic-1993.pdf
1993;16/08/1993;Desbarajuste con samba;16-Ago-1993.pdf
1993;16/07/1993;Historia de Ziggy;16-Jul-1993.pdf
1993;18/10/1993;¿La excepción cultural?;18-Oct-1993.pdf
1993;19/06/1993;En Guatemala;19-Jun-1993.pdf
1993;23/11/1993;La tribu y el mercado (Respuesta a Régis Debray);23-Nov-1993.pdf
1993;25/10/1993;El toro de Auckland;25-Oct-1993.pdf
1993;27/12/1993;Espantajos, fuera;27-Dic-1993.pdf
1993;30/08/1993;La Presa y la Sombra;30-Ago-1993.pdf
1993;30/07/1993;Una visita a Azorín;30-Jul-1993.pdf
1994;1/03/1994;Los asesinos;1-Mar-1994.pdf
1994;6/11/1994;Italia no es Bolivia;6-Nov-1994.pdf
1994;7/04/1994;Posmodernismo y frivolidad;7-Abr-1994.pdf
1994;8/12/1994;La extinción del mentor intelectual;8-Dic-1994.pdf
1994;8/06/1994;El último de los Justos;8-Jun-1994.pdf
1994;9/05/1994;La derrota de Martín Luther King;9-May-1994.pdf
1994;11/04/1994;Gaviria: ¿el trabajo sucio?;11-Abr-1994.pdf
1994;13/10/1994;Ayuda para el Primer Mundo;13-Oct-1994.pdf
1994;16/01/1994;México en llamas;16-Ene-1994.pdf
1994;21/02/1994;Antes del diluvio;21-Feb-1994.pdf
1994;21/10/1994;El precio de ser moderno;21-Oct-1994.pdf
1994;25/12/1994;Los estragos de Onán;25-Dic-1994.pdf
1994;26/04/1994;Haití —la muerte;26-Abr-1994.pdf
1994;28/05/1994;La resurrección de El Salvador;28-May-1994.pdf
1994;31/01/1994;El pene o la vida;31-Ene-1994.pdf
1995;1/01/1995;El embajador guerrillero;1-Ene-1995.pdf
1995;1/02/1995;Camus y Orwell, en Chechenia;1-Feb-1995.pdf
1995;17/01/1995;Trench Town Rock;17-Ene-1995.pdf
2006;3/12/2006;Los benévolos;3-Dic-2006.pdf
2006;4/06/2006;Una muchacha para los tigres;4-Jun-2006.pdf
2006;5/11/2006;“Me llamo Rachel Corrie”;5-Nov-2006.pdf
2006;7/05/2006;Despedida a un combatiente;7-May-2006.pdf
2006;8/01/2006;El pandillero del Casco Viejo;8-Ene-2006.pdf
2006;8/10/2006;Asesinato en Ámsterdam;8-Oct-2006.pdf
2006;10/09/2006;Héroe de nuestro tiempo;10-Sep-2006.pdf
2006;12/02/2006;El derecho a la irreverencia;12-Feb-2006.pdf
2006;12/03/2006;Hora de votar;12-Mar-2006.pdf
2006;13/08/2006;El principio del fin;13-Ago-2006.pdf
2006;15/01/2006;Raza, botas y nacionalismo;15-Ene-2006.pdf
2006;16/07/2006;Israel y los matices;16-Jul-2006.pdf
2006;17/12/2006;Las exequias de un tirano;17-Dic-2006.pdf
2006;18/06/2006;La segunda oportunidad;18-Jun-2006.pdf
2006;19/11/2006;El olor de la pobreza;19-Nov-2006.pdf
2006;21/05/2006;La filosofía en el vestidor;21-May-2006.pdf
2006;22/10/2006;Un muro de mentiras;22-Oct-2006.pdf
2006;23/04/2006;Razones para una alianza;23-Abr-2006.pdf
2006;24/09/2006;Corrido mexicano;24-Sep-2006.pdf
2006;26/02/2006;¿Es posible ser vasco?;26-Feb-2006.pdf
2006;27/08/2006;Günter Grass en la picota;27-Ago-2006.pdf
2006;29/01/2006;Bostezos chilenos;29-Ene-2006.pdf
2006;30/07/2006;Odiseo en Merida;30-Jul-2006.pdf
2006;31/12/2006;Un humanista puertorriqueño;31-Dic-2006.pdf
2007;1/07/2007;¿Otro país?;1-Jul-2007.pdf
2007;4/11/2007;¿Victoria en Iraq?;4-Nov-2007.pdf
2007;6/05/2007;Prohibido mentir;6-May-2007.pdf
2007;7/10/2007;El velo no es el velo;7-Oct-2007.pdf
2007;9/09/2007;La victoria de Bilin;9-Sep-2007.pdf
2007;11/02/2007;El regreso del idiota;11-Feb-2007.pdf
2007;11/03/2007;En honor del espíritu;11-Mar-2007.pdf
2007;12/08/2007;La sombra del padre;12-Ago-2007.pdf
2007;14/01/2007;El ojo que llora;14-Ene-2007.pdf
2007;15/07/2007;Obama y el sueño americano;15-Jul-2007.pdf
2007;16/12/2007;El dictador en el banquillo;16-Dic-2007.pdf
2007;27/06/2007;Socialismo del siglo XXI;27-Jun-2007.pdf
2007;18/11/2007;El comandante y el rey;18-Nov-2007.pdf
2007;20/05/2007;Elogio de Blanca Varela;20-May-2007.pdf
2007;21/10/2007;José María y la solitaria;21-Oct-2007.pdf
2007;22/04/2007;Lo maravilloso en el mercado;22-Abr-2007.pdf
2007;23/09/2007;Dickens en escena;23-Sep-2007.pdf
2007;25/02/2007;Los huesos del Che;25-Feb-2007.pdf
2007;25/03/2007;Roma en dos tiempos;25-Mar-2007.pdf
2007;26/08/2007;La Rusia de Putin;26-Ago-2007.pdf
2007;28/01/2007;Soldados del imperio;28-Ene-2007.pdf
2007;29/07/2007;Intimidad de los príncipes;29-Jul-2007.pdf
2008;1/06/2008;Las lecciones de los pobres;1-Jun-2008.pdf
2008;10/08/2008;Alexandr Solzhenitsin;10-Ago-2008.pdf
2008;10/02/2008;No más FARC;10-Feb-2008.pdf
2008;13/01/2008;Obama y las primarias;13-Ene-2008.pdf
2008;13/07/2008;Operación Jaque;13-Jul-2008.pdf
2008;14/12/2008;El poder y el delirio;14-Dic-2008.pdf
2008;15/06/2008;New York, New York;15-Jun-2008.pdf
2008;16/11/2008;Stanley por los suelos;16-Nov-2008.pdf
2008;18/05/2008;Obama en los infiernos;18-May-2008.pdf
2008;19/10/2008;La era de la sospecha;19-Oct-2008.pdf
2008;2/11/2008;Vanessa Redgrave;2-Nov-2008.pdf
2008;20/04/2008;Traseros irritados;20-Abr-2008.pdf
2008;21/09/2008;Gomorra y Nápoles;21-Sep-2008.pdf
2008;23/03/2008;El último maldito;23-Mar-2008.pdf
2008;24/08/2008;Caracas al vuelo;24-Ago-2008.pdf
2008;24/02/2008;Jodorkovski en Siberia;24-Feb-2008.pdf
2008;27/01/2008;Historia de David Galula;27-Ene-2008.pdf
2008;27/07/2008;Para la historia de la infamia;27-Jul-2008.pdf
2008;28/12/2008;La aventura colonial;28-Dic-2008.pdf
2008;29/06/2008;Contar cuentos;29-Jun-2008.pdf
2008;30/11/2008;El archivista y los empleos imaginarios;30-Nov-2008.pdf
2008;4/05/2008;El cuarto poder;4-May-2008.pdf
2008;5/10/2008;Tiburones en formol;5-Oct-2008.pdf
2008;6/04/2008;Borges y los piqueteros;6-Abr-2008.pdf
2008;7/09/2008;Lecciones de Georgia;7-Sep-2008.pdf
2008;9/03/2008;Tambores de guerra;9-Mar-2008.pdf
2009;1/11/2009;La desaparición del erotismo;1-Nov-2009.pdf
2009;11/01/2009;Morir en Gaza;11-Ene-2009.pdf
2009;12/07/2009;El golpe de las burlas;12-Jul-2009.pdf
2009;13/12/2009;El escritor en la plaza pública;13-Dic-2009.pdf
2009;14/06/2009;Entre la libertad y Hugo Chávez;14-Jun-2009.pdf
2009;15/11/2009;Un hombre justo;15-Nov-2009.pdf
2009;17/05/2009;La partida de la escribidora;17-May-2009.pdf
2009;18/10/2009;Desafueros de la libido;18-Oct-2009.pdf
2009;19/04/2009;Aviso para dictadores;19-Abr-2009.pdf
2009;20/09/2009;Pintores en la costa;20-Sep-2009.pdf
2009;22/02/2009;Farsa elogiosa repugnante;22-Feb-2009.pdf
2009;22/03/2009;El sueño del chef;22-Mar-2009.pdf
2009;23/08/2009;El mundo en que vivimos;23-Ago-2009.pdf
2009;25/01/2009;Obama en la Casa Blanca;25-Ene-2009.pdf
2009;26/07/2009;Prohibido prohibir;26-Jul-2009.pdf
2009;27/12/2009;La pareja del año;27-Dic-2009.pdf
2009;28/06/2009;Victoria pírrica;28-Jun-2009.pdf
2009;29/11/2009;La expulsión de los moriscos;29-Nov-2009.pdf
2009;3/05/2009;La arquitectura como espectáculo;3-May-2009.pdf
2009;31/05/2009;La cuadratura del círculo;31-May-2009.pdf
2009;4/10/2009;Castillo con fantasma;4-Oct-2009.pdf
2009;5/04/2009;El dragón en la historia;5-Abr-2009.pdf
2009;6/09/2009;Lisbeth Salander debe vivir;6-Sep-2009.pdf
2009;8/02/2009;Secuelas de dictadura;8-Feb-2009.pdf
2009;8/03/2009;El Perú no necesita museos;8-Mar-2009.pdf
2009;9/08/2009;Flor de pareja;9-Ago-2009.pdf
2010;10/01/2010;El otro Estado;10-Ene-2010.pdf
2010;10/10/2010;Catorce minutos de reflexión;10-Oct-2010.pdf
2010;11/07/2010;La querencia del maestro;11-Jul-2010.pdf
2010;13/06/2010;Israel: La amistad difícil;13-Jun-2010.pdf
2010;16/05/2010;La muerte de un pimpollo;16-May-2010.pdf
2010;18/04/2010;Torear y otras maldades;18-Abr-2010.pdf
2010;19/12/2010;Rinkeby;19-Dic-2010.pdf
2010;19/09/2010;La era del bufón;19-Sep-2010.pdf
2010;2/05/2010;Retrato de familia;2-May-2010.pdf
2010;21/02/2010;El arte de mecer;21-Feb-2010.pdf
2010;21/03/2010;El placer está en tus manos;21-Mar-2010.pdf
2010;21/11/2010;El terrorista suicida;21-Nov-2010.pdf
2010;22/08/2010;Bajo el oprobio;22-Ago-2010.pdf
2010;24/01/2010;El triunfo de Piñera;24-Ene-2010.pdf
2010;24/10/2010;Las caras del Tea Party;24-Oct-2010.pdf
2010;25/07/2010;Héroes de nuestro tiempo;25-Jul-2010.pdf
2010;27/06/2010;La casa de Dostoievski;27-Jun-2010.pdf
2010;3/10/2010;La derrota de Chávez;3-Oct-2010.pdf
2010;30/05/2010;Pecados de mi padre;30-May-2010.pdf
2010;4/04/2010;Jesús entre las ruinas;4-Abr-2010.pdf
2010;5/12/2010;Marcianos en New Jersey;5-Dic-2010.pdf
2010;5/09/2010;El señor del Caribe;5-Sep-2010.pdf
2010;7/02/2010;La amistad y los libros;7-Feb-2010.pdf
2010;7/03/2010;Lula y los Castro;7-Mar-2010.pdf
2010;7/11/2010;Avatares de la marihuana;7-Nov-2010.pdf
2010;8/08/2010;Los dioses mueren en Bayreuth;8-Ago-2010.pdf
2011;10/04/2011;Luis Loayza;10-Abr-2011.pdf
2011;13/03/2011;Piqueteros intelectuales;13-Mar-2011.pdf
2011;16/01/2011;Lo privado y lo público;16-Ene-2011.pdf
2011;2/01/2011;Carlos o el sueño americano;2-Ene-2011.pdf
2011;22/05/2011;Montaigne en la trifulca;22-May-2011.pdf
2011;24/04/2011;Retorno a la dictadura, no;24-Abr-2011.pdf
2011;27/02/2011;Viaje a las fuentes;27-Feb-2011.pdf
2011;27/03/2011;La casa de Arequipa;27-Mar-2011.pdf
2011;30/01/2011;Los réprobos;30-Ene-2011.pdf
2021;17/10/2021;Votar “bien” y votar “mal”;17-Oct-2021.pdf
2021;19/12/2021;Doscientos años;19-Dic-2021.pdf
2021;19/09/2021;La muerte de Abimael Guzmán;19-Sep-2021.pdf
2021;21/11/2021;Una sociedad democrática y moderna;21-Nov-2021.pdf
2021;22/08/2021;“El maoísmo”;22-Ago-2021.pdf
2021;3/10/2021;Volver la vista atrás;3-Oct-2021.pdf
2021;5/12/2021;Políticamente indeseable;5-Dic-2021.pdf
2021;5/09/2021;Kabul y el Occidente;5-Sep-2021.pdf
2021;7/11/2021;Libertad para las drogas;7-Nov-2021.pdf
2021;8/08/2021;¡El Hay Festival debe vivir!;8-Ago-2021.pdf
2022;1/05/2022;Cervantes;1-May-2022.pdf
2022;15/05/2022;Feria del libro en Buenos Aires;15-May-2022.pdf
2022;16/01/2022;Las quejas de un nativo;16-Ene-2022.pdf
2022;16/10/2022;La guerra de Putin;16-Oct-2022.pdf
2022;17/07/2022;Derechos de autor;17-Jul-2022.pdf
2022;18/04/2022;Las revistas;18-Abr-2022.pdf
2022;18/12/2022;El ‘Homo sovieticus’;18-Dic-2022.pdf
2022;18/09/2022;Javier Marías;18-Sep-2022.pdf
2022;19/06/2022;¿Novelas policiales?;19-Jun-2022.pdf
2022;2/01/2022;Los dictadores;2-Ene-2022.pdf
2022;2/10/2022;Viaje al norte;2-Oct-2022.pdf
2022;20/02/2022;La muerte de Sócrates;20-Feb-2022.pdf
2022;20/03/2022;El delirio de la soberbia;20-Mar-2022.pdf
2022;20/11/2022;¿Paz en Ucrania?;20-Nov-2022.pdf
2022;21/08/2022;Salman Rushdie;21-Ago-2022.pdf
2022;3/04/2022;¿Se acaba la guerra?;3-Abr-2022.pdf
2022;3/07/2022;La guerra de Ucrania;3-Jul-2022.pdf
2022;4/12/2022;El castigo a Ucrania;4-Dic-2022.pdf
2022;4/09/2022;Hombre de teatro;4-Sep-2022.pdf
2022;5/06/2022;El efecto Sartre;5-Jun-2022.pdf
2022;6/02/2022;Putin: ¿un patriota?;6-Feb-2022.pdf
2022;6/03/2022;¿La batalla perdida?;6-Mar-2022.pdf
2022;6/11/2022;Kissinger y sus estadistas;6-Nov-2022.pdf
2022;8/08/2022;La realidad disminuida;8-Ago-2022.pdf
2023;1/11/2023;Náufragos del imperio;1-Nov-2023.pdf
2023;15/10/2023;No en mi nombre;15-Oct-2023.pdf
2023;16/04/2023;Sin noticias de dios;16-Abr-2023.pdf
2023;16/07/2023;Nos quieren muertos;16-Jul-2023.pdf
2023;17/12/2023;Piedra de toque;17-Dic-2023.pdf
2023;17/09/2023;Carlos Alberto Montaner;17-Sep-2023.pdf
2023;18/06/2023;Azorín cumple 150 años;18-Jun-2023.pdf
2023;19/03/2023;Rastros de genocidio;19-Mar-2023.pdf
2023;19/11/2023;Un nuevo estilo;19-Nov-2023.pdf
2023;2/04/2023;Jorge Edwards;2-Abr-2023.pdf
2023;2/07/2023;La crisis rusa;2-Jul-2023.pdf
2023;20/08/2023;La voz augusta;20-Ago-2023.pdf
2023;20/02/2023;El oso;20-Feb-2023.pdf
2023;21/05/2023;¡A formar la fila!;21-May-2023.pdf
2023;22/01/2023;Vida y destino;22-Ene-2023.pdf
2023;3/12/2023;Antimemorias;3-Dic-2023.pdf
2023;3/09/2023;Regreso al paraíso;3-Sep-2023.pdf
2023;4/06/2023;El peso de vivir en la tierra;4-Jun-2023.pdf
2023;5/02/2023;La hora de la verdad;5-Feb-2023.pdf
2023;5/03/2023;Un aniversario;5-Mar-2023.pdf
2023;5/11/2023;El asalto interminable;5-Nov-2023.pdf
2023;6/08/2023;La náusea;6-Ago-2023.pdf
2023;7/05/2023;Sartre y el viejo librero;7-May-2023.pdf
2023;8/01/2023;El caso del Perú;8-Ene-2023.pdf
